Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
102.500000,51.509489,-0.161024,40.944092,1.270570,-0.016529,0.008541
103.000000,51.509486,-0.160991,40.653105,1.239297,0.049802,-0.081988
103.500000,51.509515,-0.161047,34.425183,1.274733,-0.027382,0.005299
104.000000,51.509501,-0.160988,36.123099,1.266914,-0.031906,-0.002935
104.500000,51.509518,-0.160979,36.270277,1.221299,-0.029675,0.031149
105.000000,51.509500,-0.160968,36.654600,1.256644,-0.029486,-0.008393
105.500000,51.509540,-0.161041,34.530759,1.272021,-0.032973,0.003014
106.000000,51.509539,-0.160964,35.980699,1.263678,-0.002633,-0.042609
106.500000,51.509546,-0.160992,41.018580,1.240755,-0.006440,0.027034
107.000000,51.509566,-0.160955,40.262084,1.236071,0.002364,-0.014114
107.500000,51.509538,-0.161016,38.796844,1.266173,0.011344,-0.035470
108.000000,51.509566,-0.160987,40.232670,1.267349,0.004450,-0.013624
108.500000,51.509572,-0.160991,44.062783,1.281467,-0.014139,0.015532
109.000000,51.509585,-0.161061,33.434662,1.269185,-0.015468,-0.030987
109.500000,51.509575,-0.161001,35.911239,1.256482,-0.006482,-0.050890
110.000000,51.509583,-0.161006,36.035895,1.279156,-0.044813,-0.011067
110.500000,51.509582,-0.161004,35.161539,1.025398,-0.021103,-0.030242
111.000000,51.509604,-0.161035,39.990300,0.767224,-0.012574,0.003402
111.500000,51.509576,-0.161018,41.420205,0.498834,0.001079,-0.022280
112.000000,51.509611,-0.161017,37.467137,0.245381,-0.012809,0.026555
112.500000,51.509619,-0.161019,36.330919,0.215214,0.064203,0.016917
113.000000,51.509598,-0.161021,38.399864,0.219716,0.153687,-0.014993
113.500000,51.509594,-0.160963,32.146879,0.124657,0.206943,-0.061502
114.000000,51.509602,-0.160996,35.166769,0.131244,0.186288,0.031812
114.500000,51.509610,-0.161031,35.238733,0.050656,0.255444,-0.089731
115.000000,51.509598,-0.161005,38.571989,-0.017477,0.258780,-0.039422
115.500000,51.509607,-0.161031,32.218497,-0.063251,0.221478,-0.017755
116.000000,51.509593,-0.160988,34.305697,-0.122273,0.207986,-0.012386
116.500000,51.509605,-0.160997,35.861990,-0.166423,0.195908,-0.016751
117.000000,51.509604,-0.161003,36.898294,-0.210689,0.122078,-0.008522
117.500000,51.509619,-0.161027,34.854576,-0.256827,0.065277,0.010617
118.000000,51.509606,-0.161001,43.027083,-0.243376,0.016400,-0.024630
118.500000,51.509578,-0.161012,34.203765,-0.498747,0.010525,-0.010322
119.000000,51.509585,-0.160997,40.059672,-0.771831,0.021706,-0.026385
119.500000,51.509599,-0.161035,35.406227,-1.004492,0.053705,-0.015293
120.000000,51.509596,-0.161001,31.033552,-1.225128,0.016325,0.009656
120.500000,51.509575,-0.160991,33.920172,-1.253574,0.003360,-0.047351
121.000000,51.509565,-0.161013,35.990032,-1.259439,-0.013878,-0.002336
121.500000,51.509575,-0.160977,35.703050,-1.263693,0.039388,0.006814
122.000000,51.509565,-0.161017,31.429849,-1.234862,0.013508,-0.020361
122.500000,51.509552,-0.160986,39.741917,-1.252949,0.010874,0.056133
123.000000,51.509548,-0.160973,36.666279,-1.252351,-0.037545,0.019358
123.500000,51.509557,-0.161024,35.765419,-1.238170,-0.014810,-0.042367
124.000000,51.509551,-0.161029,35.537772,-1.261997,-0.019784,-0.048260
124.500000,51.509546,-0.161005,39.764606,-1.254563,-0.034776,-0.002956
125.000000,51.509526,-0.160982,34.983129,-1.245215,-0.053729,0.008441
125.500000,51.509518,-0.160965,36.572172,-1.253704,-0.012196,-0.008788
