Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
117.500000,50.409654,-3.580990,-21.235845,0.011701
118.000000,50.409560,-3.580990,-20.422912,0.012965
118.500000,50.409470,-3.580989,-19.538994,0.000532
119.000000,50.409384,-3.580989,-18.703055,0.010217
119.500000,50.409302,-3.580988,-17.895523,0.007597
120.000000,50.409224,-3.580988,-17.032861,0.024492
120.500000,50.409149,-3.580988,-16.186732,0.018400
121.000000,50.409078,-3.580988,-15.373403,0.006522
121.500000,50.409011,-3.580988,-14.531462,0.008736
122.000000,50.408948,-3.580988,-13.664399,0.005763
122.500000,50.408888,-3.580988,-12.878853,0.002350
123.000000,50.408832,-3.580988,-12.044599,0.000113
123.500000,50.408780,-3.580989,-11.192105,-0.011567
124.000000,50.408732,-3.580989,-10.371561,0.012078
124.500000,50.408687,-3.580989,-9.522824,-0.009879
125.000000,50.408646,-3.580989,-8.673198,0.010412
125.500000,50.408609,-3.580989,-7.869945,-0.005302
126.000000,50.408576,-3.580989,-7.010330,0.001814
126.500000,50.408546,-3.580989,-6.194759,-0.002681
127.000000,50.408521,-3.580990,-5.346697,-0.003578
127.500000,50.408498,-3.580985,-4.839428,1.177076
128.000000,50.408479,-3.580968,-3.741841,3.358394
128.500000,50.408468,-3.580939,-1.609510,4.703783
129.000000,50.408465,-3.580905,0.008428,4.897348
129.500000,50.408466,-3.580873,0.026060,4.391752
130.000000,50.408466,-3.580844,-0.016403,3.872109
130.500000,50.408466,-3.580818,-0.009557,3.380464
131.000000,50.408466,-3.580796,-0.017177,2.884698
131.500000,50.408466,-3.580778,0.004952,2.372606
132.000000,50.408466,-3.580763,0.013938,1.877853
132.500000,50.408467,-3.580752,0.039271,1.370115
133.000000,50.408467,-3.580744,0.034229,0.870947
133.500000,50.408467,-3.580740,0.008811,0.374635
134.000000,50.408468,-3.580739,0.006152,0.002282
134.500000,50.408468,-3.580739,-0.010246,-0.024219
135.000000,50.408468,-3.580739,-0.017733,-0.013989
135.500000,50.408468,-3.580739,0.009266,0.012029
136.000000,50.408468,-3.580739,-0.003535,-0.003280
136.500000,50.408468,-3.580739,0.005081,0.009222
137.000000,50.408469,-3.580739,-0.031028,0.010305
137.500000,50.408469,-3.580739,0.000779,0.002260
138.000000,50.408469,-3.580739,-0.003692,-0.001873
138.500000,50.408469,-3.580740,0.026614,0.001897
139.000000,50.408469,-3.580740,-0.002140,-0.005065
139.500000,50.408469,-3.580740,0.005561,-0.006686
140.000000,50.408470,-3.580740,0.005485,0.001765
140.500000,50.408470,-3.580740,0.003837,-0.002394
141.000000,50.408470,-3.580740,-0.007352,0.000010
141.500000,50.408470,-3.580740,-0.009506,-0.003173
142.000000,50.408470,-3.580740,0.007546,-0.012660
142.500000,50.408470,-3.580741,-0.039207,0.005197
143.000000,50.408470,-3.580741,-0.037930,0.003909
143.500000,50.408471,-3.580741,0.008447,0.003201
144.000000,50.408471,-3.580741,0.015710,-0.001043
144.500000,50.408471,-3.580741,0.020741,0.004792
145.000000,50.408471,-3.580741,0.009055,0.003108
145.500000,50.408471,-3.580741,-0.017535,0.008344
146.000000,50.408471,-3.580741,-0.004996,-0.011569
146.500000,50.408472,-3.580741,0.018264,0.001636
147.000000,50.408472,-3.580742,0.000420,0.001108
147.500000,50.408472,-3.580742,0.005723,0.006727
148.000000,50.408472,-3.580742,0.019848,-0.004423
148.500000,50.408473,-3.580742,0.011106,0.002889
149.000000,50.408473,-3.580742,-0.050898,0.015319
149.500000,50.408473,-3.580742,0.005697,0.003650
150.000000,50.408473,-3.580742,0.003125,0.013390
150.500000,50.408473,-3.580742,-0.012355,-0.002737
151.000000,50.408473,-3.580742,-0.002969,0.010740
151.500000,50.408473,-3.580742,0.000876,-0.005557
152.000000,50.408473,-3.580742,0.011892,0.005075
152.500000,50.408474,-3.580742,-0.018373,-0.011690
153.000000,50.408474,-3.580742,-0.033603,-0.010548
153.500000,50.408474,-3.580742,0.020507,-0.002930
154.000000,50.408474,-3.580743,-0.054716,-0.003099
154.500000,50.408474,-3.580743,-0.008585,0.008328
155.000000,50.408474,-3.580743,0.007495,0.009354
155.500000,50.408474,-3.580743,0.014762,-0.011891
156.000000,50.408474,-3.580743,-0.024254,0.010497
156.500000,50.408475,-3.580743,0.012502,0.007482
157.000000,50.408475,-3.580743,0.010041,-0.007967
157.500000,50.408475,-3.580743,0.049983,0.001231
158.000000,50.408475,-3.580743,-0.019112,0.000309
158.500000,50.408475,-3.580743,-0.009127,-0.001318
159.000000,50.408475,-3.580743,-0.004899,-0.000366
159.500000,50.408476,-3.580743,0.000734,0.002671
160.000000,50.408476,-3.580743,0.015265,0.003540
160.500000,50.408476,-3.580743,0.024617,0.012234
161.000000,50.408476,-3.580744,0.012981,-0.029652
161.500000,50.408476,-3.580744,0.041941,-0.006726
162.000000,50.408477,-3.580744,0.005837,0.006141
162.500000,50.408477,-3.580744,0.033822,0.004249
163.000000,50.408477,-3.580744,-0.057580,-0.007732
163.500000,50.408477,-3.580744,-0.028683,0.005818
164.000000,50.408477,-3.580744,0.010128,0.000172
164.500000,50.408477,-3.580744,0.036607,0.003214
165.000000,50.408477,-3.580744,-0.034003,-0.017342
165.500000,50.408477,-3.580744,-0.017793,0.012295
166.000000,50.408477,-3.580744,-0.020304,0.008271
166.500000,50.408477,-3.580744,0.000151,0.003929
167.000000,50.408478,-3.580744,0.037213,-0.015850
167.500000,50.408478,-3.580744,0.010686,0.013727
168.000000,50.408478,-3.580745,0.020645,-0.019307
168.500000,50.408478,-3.580745,0.026431,-0.009523
169.000000,50.408478,-3.580745,-0.000675,0.006669
169.500000,50.408478,-3.580745,0.006188,-0.001103
170.000000,50.408479,-3.580745,-0.012559,-0.001291
170.500000,50.408479,-3.580745,-0.019384,-0.003701
171.000000,50.408479,-3.580745,0.045778,-0.005397
171.500000,50.408479,-3.580745,-0.006573,-0.018998
172.000000,50.408479,-3.580746,0.038016,-0.023417
172.500000,50.408479,-3.580746,-0.016966,-0.001431
173.000000,50.408479,-3.580746,0.003229,0.011723
173.500000,50.408479,-3.580746,-0.006759,-0.019146
174.000000,50.408479,-3.580746,-0.032429,0.014007
174.500000,50.408479,-3.580746,-0.033457,-0.018711
175.000000,50.408479,-3.580746,0.016596,-0.006756
