Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
97.000000,50.414797,-3.581200,-26.027122,16.296094
97.500000,50.414677,-3.581094,-27.098776,14.287172
98.000000,50.414552,-3.581003,-28.173122,11.838581
98.500000,50.414424,-3.580925,-28.811513,10.518326
99.000000,50.414295,-3.580851,-28.637694,10.737374
99.500000,50.414164,-3.580786,-29.591040,8.181157
100.000000,50.414030,-3.580740,-29.947839,5.226545
100.500000,50.413894,-3.580705,-30.328989,4.801028
101.000000,50.413757,-3.580681,-30.467561,2.563558
101.500000,50.413620,-3.580667,-30.552131,1.519381
102.000000,50.413483,-3.580660,-30.520948,0.641633
102.500000,50.413345,-3.580660,-30.653413,-0.498931
103.000000,50.413208,-3.580664,-30.486848,-0.482680
103.500000,50.413070,-3.580667,-30.740021,-0.422285
104.000000,50.412933,-3.580662,-30.360036,1.551790
104.500000,50.412795,-3.580659,-30.922030,-0.383404
105.000000,50.412658,-3.580669,-30.379759,-2.117411
105.500000,50.412520,-3.580679,-30.690636,-0.928198
106.000000,50.412383,-3.580683,-30.556500,-0.502445
106.500000,50.412245,-3.580679,-30.626095,1.316652
107.000000,50.412108,-3.580667,-30.469238,1.930534
107.500000,50.411970,-3.580660,-30.645356,0.542144
108.000000,50.411833,-3.580658,-30.531030,0.121354
108.500000,50.411695,-3.580661,-30.763325,-1.018932
109.000000,50.411558,-3.580665,-30.464002,-0.097481
109.500000,50.411420,-3.580664,-30.762063,0.206650
110.000000,50.411283,-3.580660,-30.429811,0.850817
110.500000,50.411145,-3.580657,-30.797119,0.224779
111.000000,50.411007,-3.580661,-30.417865,-1.098895
111.500000,50.410870,-3.580659,-30.832121,1.175040
112.000000,50.410732,-3.580657,-30.375728,-0.267368
112.500000,50.410595,-3.580663,-30.456323,-1.435605
113.000000,50.410461,-3.580672,-29.707702,-1.033549
113.500000,50.410329,-3.580673,-28.886892,0.441357
114.000000,50.410201,-3.580673,-28.146872,-0.225312
114.500000,50.410078,-3.580672,-27.100364,0.275417
115.000000,50.409957,-3.580670,-26.512704,0.297923
115.500000,50.409841,-3.580670,-25.368009,-0.163775
116.000000,50.409728,-3.580671,-24.871963,-0.209347
116.500000,50.409620,-3.580675,-23.551067,-0.681821
117.000000,50.409516,-3.580676,-23.087301,0.162842
117.500000,50.409415,-3.580674,-21.912113,0.418682
118.000000,50.409318,-3.580672,-21.408996,0.193262
118.500000,50.409224,-3.580670,-20.401812,0.318115
119.000000,50.409135,-3.580666,-19.572800,0.595556
119.500000,50.409049,-3.580662,-18.645373,0.701377
120.000000,50.408968,-3.580659,-17.734837,0.080546
120.500000,50.408889,-3.580661,-17.265531,-0.402076
121.000000,50.408815,-3.580661,-15.962360,0.196998
121.500000,50.408744,-3.580660,-15.549292,0.098068
122.000000,50.408678,-3.580658,-14.268147,0.466976
122.500000,50.408615,-3.580656,-13.804420,0.251695
123.000000,50.408556,-3.580657,-12.560384,-0.496524
123.500000,50.408501,-3.580659,-12.242992,-0.055285
124.000000,50.408449,-3.580657,-11.078462,0.354206
124.500000,50.408401,-3.580657,-10.226712,-0.175538
125.000000,50.408357,-3.580658,-9.466006,-0.017083
125.500000,50.408317,-3.580658,-8.366512,-0.120651
126.000000,50.408281,-3.580658,-7.772877,0.173712
126.500000,50.408249,-3.580657,-6.794955,-0.037806
127.000000,50.408221,-3.580660,-6.004747,-0.483881
127.500000,50.408196,-3.580657,-5.245107,0.902039
128.000000,50.408176,-3.580641,-3.829172,3.269202
128.500000,50.408164,-3.580612,-1.815471,4.856589
129.000000,50.408161,-3.580577,0.077212,4.855646
129.500000,50.408162,-3.580543,0.298542,4.956817
130.000000,50.408162,-3.580512,-0.148367,4.069321
130.500000,50.408161,-3.580484,-0.080966,3.812421
131.000000,50.408161,-3.580460,0.000685,3.178931
131.500000,50.408161,-3.580439,-0.035854,2.840595
132.000000,50.408161,-3.580422,0.007382,2.125469
132.500000,50.408161,-3.580408,-0.032783,1.809885
133.000000,50.408161,-3.580398,0.049701,1.111873
133.500000,50.408161,-3.580392,-0.013602,0.784954
134.000000,50.408161,-3.580389,-0.000204,0.164466
134.500000,50.408161,-3.580389,0.003962,-0.013329
135.000000,50.408161,-3.580388,-0.000128,0.043226
135.500000,50.408161,-3.580388,0.002549,0.071617
136.000000,50.408161,-3.580388,-0.003292,0.017851
136.500000,50.408161,-3.580388,0.005182,-0.148464
137.000000,50.408161,-3.580388,-0.004627,0.137908
137.500000,50.408161,-3.580388,0.003239,-0.096536
138.000000,50.408161,-3.580388,-0.000669,-0.000368
138.500000,50.408161,-3.580389,0.001529,-0.033714
139.000000,50.408161,-3.580388,-0.012794,0.261080
139.500000,50.408161,-3.580388,0.014156,-0.284532
140.000000,50.408161,-3.580388,-0.011172,0.097203
140.500000,50.408161,-3.580388,0.010120,0.033926
141.000000,50.408161,-3.580388,-0.007084,-0.023748
141.500000,50.408161,-3.580388,0.004959,0.016624
142.000000,50.408161,-3.580388,-0.003346,-0.045628
142.500000,50.408161,-3.580388,0.003581,0.065912
143.000000,50.408161,-3.580388,-0.002507,-0.046138
143.500000,50.408161,-3.580388,0.002306,-0.035701
144.000000,50.408161,-3.580389,-0.001000,-0.077008
144.500000,50.408161,-3.580389,-0.000122,-0.014076
145.000000,50.408161,-3.580389,0.000086,0.009853
145.500000,50.408161,-3.580389,-0.002892,0.095059
146.000000,50.408161,-3.580389,0.002851,-0.202528
146.500000,50.408161,-3.580390,0.000272,0.005825
