Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
137.500000,50.408493,-3.580752,0.000590,0.001408
138.000000,50.408493,-3.580752,-0.003720,-0.001207
138.500000,50.408493,-3.580753,0.026582,0.001894
139.000000,50.408493,-3.580753,-0.001982,-0.004821
139.500000,50.408493,-3.580753,0.005624,-0.008476
140.000000,50.408493,-3.580752,0.005417,0.003636
140.500000,50.408493,-3.580753,0.003939,-0.003027
141.000000,50.408493,-3.580753,-0.007404,-0.000234
141.500000,50.408492,-3.580753,-0.009518,-0.003011
142.000000,50.408492,-3.580753,0.007438,-0.012789
142.500000,50.408492,-3.580753,-0.039144,0.005423
143.000000,50.408492,-3.580753,-0.038228,0.003504
143.500000,50.408492,-3.580752,0.008198,0.003541
144.000000,50.408492,-3.580753,0.015741,-0.000776
144.500000,50.408492,-3.580753,0.020844,0.005309
145.000000,50.408492,-3.580752,0.009187,0.003241
145.500000,50.408492,-3.580753,-0.017483,0.008302
146.000000,50.408492,-3.580752,-0.005103,-0.012151
146.500000,50.408492,-3.580753,0.018201,0.002925
147.000000,50.408492,-3.580753,0.000533,0.001088
147.500000,50.408492,-3.580753,0.005729,0.006536
148.000000,50.408492,-3.580753,0.019870,-0.004234
148.500000,50.408492,-3.580752,0.011237,0.002764
149.000000,50.408492,-3.580752,-0.050859,0.016098
149.500000,50.408492,-3.580752,0.005365,0.003230
150.000000,50.408492,-3.580752,0.003136,0.012871
150.500000,50.408492,-3.580753,-0.012335,-0.002492
151.000000,50.408492,-3.580752,-0.003072,0.011077
151.500000,50.408492,-3.580752,0.000854,-0.005955
152.000000,50.408492,-3.580752,0.011862,0.003996
152.500000,50.408492,-3.580752,-0.018277,-0.011386
153.000000,50.408492,-3.580752,-0.033751,-0.010812
153.500000,50.408492,-3.580752,0.020295,-0.003784
154.000000,50.408492,-3.580752,-0.054599,-0.001654
154.500000,50.408491,-3.580753,-0.008952,0.007289
155.000000,50.408491,-3.580752,0.007438,0.010585
155.500000,50.408491,-3.580753,0.014798,-0.012415
156.000000,50.408491,-3.580752,-0.024154,0.010604
156.500000,50.408491,-3.580753,0.012324,0.007196
157.000000,50.408491,-3.580752,0.010119,-0.007433
157.500000,50.408491,-3.580752,0.050077,-0.000072
158.000000,50.408492,-3.580752,-0.018810,0.001422
